Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",CP_Radial_D6.3mm_P2.50mm,2,100µF,
"D1, D2, D3",LED_D5.0mm,3,LED,
J1,BarrelJack_CUI_PJ-102AH_Horizontal,1,JACK,
J10,PinHeader_1x04_P2.54mm_Vertical,1,M_ALT,
J11,PinHeader_1x04_P2.54mm_Vertical,1,M_AZ,
J2,PinHeader_1x03_P2.54mm_Vertical,1,MAIN SWITCH,
J3,PinHeader_1x05_P2.54mm_Vertical,1,EN_ALT,
J4,PinHeader_1x05_P2.54mm_Vertical,1,EN_AZ,
J5,PinHeader_1x04_P2.54mm_Vertical,1,GPS,
J6,PinHeader_1x10_P2.54mm_Vertical,1,IMU,
J7,PinHeader_1x04_P2.54mm_Vertical,1,DISPLAY,
J8,PinHeader_1x03_P2.54mm_Vertical,1,SWITCH,
J9,PinHeader_1x07_P2.54mm_Vertical,1,D-PAD,
PS1,CONV_MC00100,1,LM2596,
"R1, R12",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,2,10K,
"R10, R2, R3, R4, R5, R9",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,6,4.7K,
R11,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,27K,
"R6, R7, R8",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,3,330,
U1,MODULE_TMC2209_SILENTSTEPSTICK,1,ALT,
U2,MODULE_TMC2209_SILENTSTEPSTICK,1,AZ,
U3,ESP32-S3-DEVKITC-1-N8R8,1,ESP32-S3-DEVKITC-1-N8R8,
