Designator,Mid X,Mid Y,Rotation,Layer
C1,77.567621,-59.5,0.0,top
C2,89.25,-59.5,0.0,top
D1,167.495,-73.0,0.0,top
D2,167.27,-81.5,0.0,top
D3,167.27,-90.0,0.0,top
J1,36.5,-77.35,270.0,top
J10,31.0,-104.69,0.0,top
J11,31.0,-120.23,0.0,top
J2,52.0,-60.0,0.0,top
J3,57.42,-144.0,90.0,top
J4,83.5,-144.0,90.0,top
J5,111.0,-84.31,0.0,top
J6,103.5,-77.27,0.0,top
J7,114.23,-123.5,90.0,top
J8,154.96,-53.5,90.0,top
J9,161.0,-102.0,90.0,top
PS1,72.0,-81.0,0.0,top
R1,70.5,-122.42,90.0,top
R10,108.08,-99.0,0.0,top
R11,154.92,-58.0,0.0,top
R12,154.92,-62.5,0.0,top
R2,55.0,-132.42,90.0,top
R3,60.0,-132.42,90.0,top
R4,81.0,-132.42,90.0,top
R5,86.0,-132.42,90.0,top
R6,156.92,-73.0,180.0,top
R7,156.92,-81.5,180.0,top
R8,156.92,-90.0,0.0,top
R9,108.58,-94.5,0.0,top
U1,58.0,-105.5,180.0,top
U2,83.0,-105.61,180.0,top
U3,133.0,-83.69,0.0,top
